device_id,timestamp,position_x,position_y,velocity_x,velocity_y,signal_strength,connected
0,0,-419.9085001137322,719.6279299184757,-1.2139074280168847,-4.899790446988519,0.16682084400381514,False
0,10,-430.95592289821207,677.5610075804393,-1.10474227844798,-4.2066922338036505,0.19699817778882356,False
0,20,-442.7623768555367,629.1999838258726,-1.180645395732459,-4.836102375456678,0.23062938579300907,False
0,30,-454.72441841784257,586.4136051442979,-1.1962041562305898,-4.27863786815745,0.2579385382572561,False
0,40,-465.6321594241606,543.372443899786,-1.0907741006318,-4.3041161244512,0.2844114864814884,False
0,50,-484.1681551875512,505.1058316334231,-1.853599576339056,-3.8266612266362925,0.3003209995663664,True
0,60,-494.3812538975016,468.22882165048986,-1.021309870995045,-3.6877009982933147,0.3190807289924361,True
0,70,-503.00782060439576,433.23721266792177,-0.8626566706894141,-3.4991608982568043,0.3361390582136542,True
0,80,-510.69638104183593,392.4693584544211,-0.7688560437440162,-4.076785421350056,0.3559169378606102,True
0,90,-522.9233149815857,352.06313939993106,-1.2226933939749787,-4.0406219054490125,0.369605482673377,True
0,100,-542.7430899326752,316.4480339996171,-1.9819774951089502,-3.5615105400313913,0.371740961153848,True
0,110,-568.945161093027,288.1004145664683,-2.620207116035185,-2.83476194331489,0.3622693004060873,True
0,120,-593.3871748395009,254.25619334470002,-2.4442013746473927,-3.384422122176817,0.3544347042179685,True
0,130,-626.2721086189856,225.5433120313271,-3.2884933779484773,-2.871288131337299,0.33435254102781176,True
0,140,-660.2636818353604,191.48152927956357,-3.3991573216374817,-3.4061782751763525,0.31253123299598073,True
0,150,-681.9225013672585,160.2562263775642,-2.165881953189804,-3.1225302901999363,0.29949992436563166,False
0,160,-702.7111077643297,123.97540345247648,-2.0788606397071137,-3.6280822925087794,0.28643654687436837,False
0,170,-719.8891936964151,87.82795760030672,-1.7178085932085425,-3.6147445852169717,0.27477300013229244,False
0,180,-738.6687526202923,56.05849861350862,-1.8779558923877127,-3.1769458986797985,0.2592071265431751,False
0,190,-760.5234939808798,22.18202183228277,-2.1854741360587617,-3.387647678122587,0.23915308570682026,False
0,200,-777.754881020083,-9.265459058174088,-1.723138703920312,-3.144748089045691,0.2221899308429326,False
0,210,-797.5569540826101,-29.923520880048045,-1.9802073062527101,-2.065806182187397,0.20188189338457607,False
0,220,-813.0712697999876,-55.433298436475525,-1.55143157173775,-2.5509777556427506,0.18504126463377824,False
0,230,-831.6693728220887,-83.44041479477721,-1.8598103022101116,-2.8007116358301714,0.16415536819848464,False
0,240,-848.4190355093712,-106.4548666258047,-1.6749662687282456,-2.3014451831027527,0.1449283664844393,False
0,250,-858.1504850183511,-138.44529008637494,-0.9731449508979968,-3.199042346057023,0.1307535716010495,False
0,260,-867.1511185078866,-170.880120657627,-0.9000633489535484,-3.243483057125211,0.11617248404145963,False
0,270,-872.0666858585379,-199.21883964599124,-0.49155673506512204,-2.833871898836423,0.10546746808504004,False
0,280,-872.1710860955878,-228.44675695047601,-0.010440023704994306,-2.9227917304484765,0.1,False
